term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
Economic Development,5,,,,City of Long Beach Data Portal,4,LA City Geo Hub,1,,,,,,,,
Sheep,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
dcfs,4,,,,County of Los Angeles Data Portal,4,,,,,,,,,,
SCAG,4,,,,SCAG GIS Open Data Portal,4,,,,,,,,,,
Dove,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
emergency,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
outcome,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
neighborhoods,4,,,,LA City Geo Hub,4,,,,,,,,,,
ADV rates,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Leopard,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
Brown,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
Lepus,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
planningCadastre,5,,,,California Natural Resources Agency Data Portal,4,SCAG GIS Open Data Portal,1,,,,,,,,
california eligibility and enrollment report,4,government-services,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Active Transportation,4,transportation,,,LA City Geo Hub,4,,,,,,,,,,
economically distressed areas,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
family planning care and treatment program,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Family Planning Access Care and Treatment Program,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Emergency Department,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
patient county,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Vocational Rehabilitation,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
volume,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
weeds,5,,,,California Natural Resources Agency Data Portal,4,LA City Geo Hub,1,,,,,,,,
Public Water System,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
dbs,5,,,,Performance LA,4,Los Angeles Open Data,1,,,,,,,,
drainage,4,,,,LA City Geo Hub,4,,,,,,,,,,
SWITRS,4,,,,LA City Geo Hub,4,,,,,,,,,,
buildings,4,infrastructure,,,LA City Geo Hub,4,,,,,,,,,,
fire-response-time,4,,,,Performance LA,4,,,,,,,,,,
Pond,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
ltc,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
endangered,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
zip code,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Eligibility,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
enforcement,5,,,,California Natural Resources Agency Data Portal,4,California Health and Human Services Open Data Portal,1,,,,,,,,
pci,5,,,,California Health and Human Services Open Data Portal,4,LA City Geo Hub,1,,,,,,,,
Clean Streets,4,,,,LA City Geo Hub,4,,,,,,,,,,
hospitalization,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Business,4,community-economic-development,,,City of Long Beach Data Portal,4,,,,,,,,,,
2008,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
2009,5,,,,California Natural Resources Agency Data Portal,4,SCAG GIS Open Data Portal,1,,,,,,,,
percutaneous coronary intervention,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Solano County,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
injury,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Perognathus,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
ALIRTS,4,,,,California Health and Human Services Open Data Portal,4,,,,,,,,,,
Yellow,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
Blackbird,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
neighborhood,5,,,,ControlPanel LA,4,Los Angeles Open Data,1,,,,,,,,
Pygmy,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
Phrynosoma,4,,,,California Natural Resources Agency Data Portal,4,,,,,,,,,,
Grouse,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Asian Indian,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
1992,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
CleanStreets,3,,,,LA City Geo Hub,3,,,,,,,,,,
structural retrofit,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Swift,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Luis,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
access,5,,,,California Health and Human Services Open Data Portal,3,Los Angeles Open Data,1,California Natural Resources Agency Data Portal,1,,,,,,
death,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Refuge,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
adolescent,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
physical features,3,,,,LA City Geo Hub,3,,,,,,,,,,
pictus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Wilsons,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
nonstructural performance category,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Swainsons,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
RockfishYellowtail,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Basin,3,infrastructure,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Overlay layers,3,,,,LA City Geo Hub,3,,,,,,,,,,
pools,4,,,,California Natural Resources Agency Data Portal,3,LA City Geo Hub,1,,,,,,,,
heart bypass,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
griseus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Sutter,4,,,,California Natural Resources Agency Data Portal,3,City of Long Beach Data Portal,1,,,,,,,,
Salt,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
community hospitals,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
LA river,3,,,,LA City Geo Hub,3,,,,,,,,,,
Filipino,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
foreclosed,3,,,,Los Angeles Open Data,3,,,,,,,,,,
punicea,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Otter,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
police department,3,,,,LA City Geo Hub,3,,,,,,,,,,
services,7,,,,Los Angeles Open Data,3,California Health and Human Services Open Data Portal,3,Performance LA,1,,,,,,
Arizona,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
delivery of health care,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Salmon,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
tui,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Invertebrates,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Critical,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
sign,3,,,,Los Angeles Open Data,3,,,,,,,,,,
rehabilitation facility,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Grassland,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Contaminant,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
npc,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
sites,4,,,,Los Angeles Open Data,3,California Natural Resources Agency Data Portal,1,,,,,,,,
Traffic Records,3,,,,LA City Geo Hub,3,,,,,,,,,,
Grasshopper,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Traffic,3,,,,LA City Geo Hub,3,,,,,,,,,,
bachmani,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Recreation  Parks,3,,,,City of Long Beach Data Portal,3,,,,,,,,,,
syphilis,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
pupfish,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
iwfm,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Riparian,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
30-day readmission rate,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Supply,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
International Classification of Diseases,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Boa,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
summer,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Los Angeles County Department of Public Health,3,Health,,,LA City Geo Hub,3,,,,,,,,,,
jamaicensis,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
department of developmental services,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
heart failure,3,Health,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
montanus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
2002,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
streetlight,3,,,,Los Angeles Open Data,3,,,,,,,,,,
Jay,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
detaw,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
macrotis,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
mental health,5,,,,California Health and Human Services Open Data Portal,3,LA City Geo Hub,2,,,,,,,,
traffic,5,,,,LA City Geo Hub,3,Los Angeles Open Data,2,,,,,,,,
nursing home locations,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
nursing homes,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Joaquin,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Multispecies,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
rehabilitation center,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Tyrannus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
obesity,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Yolo County,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
cardiac surgery,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Uma,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
California Energy Commissions Alternative and Renewable Fuel and Vehicle Technology Program,3,government-services,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
subspecies,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
regional centers,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
care,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Calfish,3,government-services,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Finch,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Creek,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
tonnage,3,,,,Los Angeles Open Data,3,,,,,,,,,,
top 25 ms-drg,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
alba,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
medicare-severity diagnosis related groups,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Medicare Severity-Diagnosis Related Group,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
top 25 msdrg by  of discharges,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Female,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
developmental disability,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
landscape,5,,,,LA City Geo Hub,3,California Natural Resources Agency Data Portal,2,,,,,,,,
Alameda County,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Goldfinch,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
congressional districts,3,,,,LA City Geo Hub,3,,,,,,,,,,
landbase parcels,3,,,,LA City Geo Hub,3,,,,,,,,,,
Kesterson,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Merriams,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
healthcare locations,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Kingbird,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
diabetes,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
clinics,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
merriami,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
China,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
applications,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
clinic locations,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
owner,3,,,,LA City Geo Hub,3,,,,,,,,,,
carotid endarterectomy,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Gnatcatcher,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
klamathensis,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Feral,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
clean,3,,,,LA City Geo Hub,3,,,,,,,,,,
serranoidesSebastes,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
violation,3,,,,Los Angeles Open Data,3,,,,,,,,,,
trauma level,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
District,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Strix,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
council districts,3,,,,LA City Geo Hub,3,,,,,,,,,,
Urocyon,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
power,6,,,,California Natural Resources Agency Data Portal,3,Los Angeles Open Data,1,Performance LA,1,LA City Geo Hub,1,,,,
Gila,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
gas,6,,,,LA City Geo Hub,3,California Natural Resources Agency Data Portal,3,,,,,,,,
Sacramento County,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Ambystoma,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Bandtailed,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
disability type,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Urosaurus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
lamprey,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
ParkScore,3,,,,LA City Geo Hub,3,,,,,,,,,,
community-development,3,,,,ControlPanel LA,3,,,,,,,,,,
cigarettes,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Merganser,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
day-labor,3,,,,Los Angeles Open Data,3,,,,,,,,,,
worksource,3,,,,Los Angeles Open Data,3,,,,,,,,,,
type of care,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
yellowlegged,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
cigarette,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
sesbania,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Sesbania,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
centerline,3,,,,LA City Geo Hub,3,,,,,,,,,,
Ped,3,,,,LA City Geo Hub,3,,,,,,,,,,
customer-service,5,,,,Los Angeles Open Data,3,Performance LA,2,,,,,,,,
geoscientificInformation,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Land Use,3,,,,SCAG GIS Open Data Portal,3,,,,,,,,,,
licensed facility,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
plan,4,,,,California Health and Human Services Open Data Portal,3,California Natural Resources Agency Data Portal,1,,,,,,,,
NCCP,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
maternal child adolescent health,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
valley,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
BlackHeaded,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
culture,3,,,,Los Angeles Open Data,3,,,,,,,,,,
discharges with valid charges,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
children-and-family-services,3,,,,County of Los Angeles Data Portal,3,,,,,,,,,,
Melanerpes,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
population 60,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Podiceps,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
RWSP,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Guamanian,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Lasiurus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
farming,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
pool,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Merced,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
disorders,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
PWS,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
disposition,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Solano,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
brfss,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
shoreline,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Chickadee,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Sonoma,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Baja,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
health outcome,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Vermilion,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
vernal,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
election,3,,,,County of Los Angeles Data Portal,3,,,,,,,,,,
gonorrhea,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Qualified Health Plan,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Accipiter,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
finance,9,,,,LA City Geo Hub,3,City of West Hollywood Data Portal,3,ControlPanel LA,2,Santa Monica Open Data,1,,,,
Intersection Mural,3,,,,LA City Geo Hub,3,,,,,,,,,,
Gecko,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Indexing,3,,,,LA City Geo Hub,3,,,,,,,,,,
families,3,,,,County of Los Angeles Data Portal,3,,,,,,,,,,
marbled,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Poecile,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Gavia,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
rufus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
electronic smoking device,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
subdivision,4,,,,LA City Geo Hub,3,County of Los Angeles Data Portal,1,,,,,,,,
Gambelia,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
tract,4,,,,LA City Geo Hub,3,California Natural Resources Agency Data Portal,1,,,,,,,,
haul routes,3,,,,LA City Geo Hub,3,,,,,,,,,,
cabg,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
SCAG region,3,,,,SCAG GIS Open Data Portal,3,,,,,,,,,,
pinniger,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
la-county-arts-commission,3,arts-culture,,,County of Los Angeles Data Portal,3,,,,,,,,,,
Polioptila,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Utilities,3,,,,City of Long Beach Data Portal,3,,,,,,,,,,
ACP,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Chinese,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Corvus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Pollutant,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
California Clean Tech Companies In Mexico,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
child support,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
lot,3,,,,LA City Geo Hub,3,,,,,,,,,,
Intersection Prioritization Scores,3,,,,LA City Geo Hub,3,,,,,,,,,,
sierrae,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Least,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Medi-Cal Demographics,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
fuscipes,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
assembly districts,3,,,,LA City Geo Hub,3,,,,,,,,,,
psa,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Volta,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
health effects,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
CalHEERS QHP,3,government-services,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
dmhc,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
pneumonia,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
permitting,3,,,,County of Los Angeles Data Portal,3,,,,,,,,,,
prsa,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
WA,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
pancreatic cancer surgery,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
pancreatic resection,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
hospital mortality,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
carrier,3,,,,Los Angeles Open Data,3,,,,,,,,,,
change,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Standard,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
valid charges,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Siphatales,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
pme,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
human immunodeficiency virus,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
East,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
anadromous,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Olive,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
hospital locations,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
FringeToed,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
angioplasty,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
FRGP,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
freshwater,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
ROV,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Onchorhychus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Mendota,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Intersection Profile Count,3,,,,LA City Geo Hub,3,,,,,,,,,,
trees,6,,,,LA City Geo Hub,3,California Natural Resources Agency Data Portal,2,Santa Monica Open Data,1,,,,,,
mystinus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Freitas,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
NWR,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Bighorn,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
marine,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Age,3,demographics,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
FreeTailed,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Patagioenas,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
ecoregion,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Bike,3,transportation,,,LA City Geo Hub,3,,,,,,,,,,
and treatment program,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Bear,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Passerina,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
city furniture,3,,,,LA City Geo Hub,3,,,,,,,,,,
roach,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Watershed,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Watersheds,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Water Supply,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
planning and service area,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Sitta,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
bss,5,,,,Los Angeles Open Data,3,Performance LA,2,,,,,,,,
aaa repair,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Bike Collisions,3,,health,,LA City Geo Hub,3,,,,,,,,,,
egret,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
sanitation,3,,,,LA City Geo Hub,3,,,,,,,,,,
charges,4,,,,California Health and Human Services Open Data Portal,3,Santa Monica Open Data,1,,,,,,,,
contours,4,,,,LA City Geo Hub,3,California Natural Resources Agency Data Portal,1,,,,,,,,
vocational rehabilitataion,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Consumption,3,,,,City of Long Beach Data Portal,3,,,,,,,,,,
californianus,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
black,4,,,,California Natural Resources Agency Data Portal,3,California Health and Human Services Open Data Portal,1,,,,,,,,
weed,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Map,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
and osteopathic,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
melanops,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Spizella,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Lithobates,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
Pipilo,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
archived NonBOE public way reservations,3,,,,LA City Geo Hub,3,,,,,,,,,,
vr,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Antelope,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
West,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
facilities,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
trash,5,,,,LA City Geo Hub,3,Los Angeles Open Data,1,Performance LA,1,,,,,,
e-cigarettes,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Mustela,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
wetlands,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
MPA Monitoring,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
emsa,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
gis,3,,,,Santa Monica Open Data,3,,,,,,,,,,
Lodge,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
permanent medical exemption,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Slough,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
elegans,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
ed,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
personal beliefs exemption,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
hospital infections,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
mean charge per stay,3,,,,California Health and Human Services Open Data Portal,3,,,,,,,,,,
Community Plan Area,3,,,,LA City Geo Hub,3,,,,,,,,,,
Contra Costa County,3,,,,California Natural Resources Agency Data Portal,3,,,,,,,,,,
