term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
Central,47,,,,California Natural Resources Agency Data Portal,46,City of Long Beach Data Portal,1,,,,,,,,
Vision Zero,46,,,,LA City Geo Hub,46,,,,,,,,,,
Act,46,,,,California Natural Resources Agency Data Portal,46,,,,,,,,,,
vegetation,44,environment,,,California Natural Resources Agency Data Portal,44,,,,,,,,,,
Coastal,43,,water,,California Natural Resources Agency Data Portal,43,,,,,,,,,,
Areas,44,,,,California Natural Resources Agency Data Portal,43,LA City Geo Hub,1,,,,,,,,
State,43,,,,California Natural Resources Agency Data Portal,43,,,,,,,,,,
The Trust for Public Land,42,,,,LA City Geo Hub,42,,,,,,,,,,
coastal,42,,water,,California Natural Resources Agency Data Portal,42,,,,,,,,,,
forest,42,environment,,,California Natural Resources Agency Data Portal,42,,,,,,,,,,
Coast,42,water,,,California Natural Resources Agency Data Portal,42,,,,,,,,,,
survey,50,,,,California Natural Resources Agency Data Portal,41,LA City Geo Hub,7,Los Angeles Open Data,1,County of Los Angeles Data Portal,1,,,,
a prosperous city,41,community-economic-development,,,LA City Geo Hub,41,,,,,,,,,,
range,41,,,,California Natural Resources Agency Data Portal,41,,,,,,,,,,
baseline,40,,,,California Natural Resources Agency Data Portal,40,,,,,,,,,,
waters,40,,environment,,California Natural Resources Agency Data Portal,40,,,,,,,,,,
for,40,,,,California Natural Resources Agency Data Portal,40,,,,,,,,,,
ecosystems,40,environment,,,California Natural Resources Agency Data Portal,40,,,,,,,,,,
Equity,39,,,,LA City Geo Hub,39,,,,,,,,,,
social vulnerability,39,community-economic-development,,,LA City Geo Hub,39,,,,,,,,,,
Marine,39,,water,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
PISCES,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
PISCO,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
Protected,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
Protection,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
Life,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
Protect,39,,,,LA City Geo Hub,39,,,,,,,,,,
active transportation,41,transportation,,,LA City Geo Hub,39,California Health and Human Services Open Data Portal,2,,,,,,,,
global sea level rise,39,natural-disasters,,,LA City Geo Hub,39,,,,,,,,,,
Absorb,39,,,,LA City Geo Hub,39,,,,,,,,,,
kelp,39,,water,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
hucs,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
huc_12,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
huc12,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
Reserves,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
Green Infrastructure,39,,community-economic-development,,LA City Geo Hub,39,,,,,,,,,,
bike routes,39,,infrastructure,,LA City Geo Hub,39,,,,,,,,,,
urban heat island,39,equity,,,LA City Geo Hub,39,,,,,,,,,,
Cool,39,,,,LA City Geo Hub,39,,,,,,,,,,
TPL,39,,,,LA City Geo Hub,39,,,,,,,,,,
Connect,39,,,,LA City Geo Hub,39,,,,,,,,,,
Climate,41,environment,,,LA City Geo Hub,39,California Natural Resources Agency Data Portal,2,,,,,,,,
ClimateSmart,39,environment,,,LA City Geo Hub,39,,,,,,,,,,
DWRAtlas,39,,,,California Natural Resources Agency Data Portal,39,,,,,,,,,,
oshpd,39,,,,California Health and Human Services Open Data Portal,39,,,,,,,,,,
Interdisciplinary,38,,,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
recreation,41,,,,LA City Geo Hub,38,California Natural Resources Agency Data Portal,1,Los Angeles Open Data,1,County of Los Angeles Data Portal,1,,,,
characterization,38,,,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
rockfish,38,environment,,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
rock,38,environment,,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
Partnership,38,,,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
shallow,38,,,,California Natural Resources Agency Data Portal,38,,,,,,,,,,
