term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
public housing,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22public+housing%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22public+housing%22"", ""1"")",,,,,,,,,,
medically-unlikely-edits,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22medically-unlikely-edits%22"", ""1"")",,,,"=HYPERLINK(""https://data.medicaid.gov"", ""Data.Medicaid.gov"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Data.Medicaid.gov%22+AND+tags%3A%22medically-unlikely-edits%22"", ""1"")",,,,,,,,,,
method comparison,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22method+comparison%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22method+comparison%22"", ""1"")",,,,,,,,,,
ucla,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22ucla%22"", ""1"")",,,,"=HYPERLINK(""https://performance-lacity.data.socrata.com"", ""Performance LA"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Performance+LA%22+AND+tags%3A%22ucla%22"", ""1"")",,,,,,,,,,
mewukkaArctostaphylos,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22mewukkaArctostaphylos%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22mewukkaArctostaphylos%22"", ""1"")",,,,,,,,,,
Public Facility,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Public+Facility%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Public+Facility%22"", ""1"")",,,,,,,,,,
mexicanaSymphoricarpos,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22mexicanaSymphoricarpos%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22mexicanaSymphoricarpos%22"", ""1"")",,,,,,,,,,
Public FacilitiesFreeway,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Public+FacilitiesFreeway%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Public+FacilitiesFreeway%22"", ""1"")",,,,,,,,,,
Police Beats,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Police+Beats%22"", ""1"")",,,,"=HYPERLINK(""http://datalb.longbeach.gov/data.json"", ""City of Long Beach Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22City+of+Long+Beach+Data+Portal%22+AND+tags%3A%22Police+Beats%22"", ""1"")",,,,,,,,,,
microcephalus,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22microcephalus%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22microcephalus%22"", ""1"")",,,,,,,,,,
